question,correct_answer,option_b,option_c,option_d,category
Who invented the light bulb?,Thomas Edison,Nikola Tesla,Alexander Graham Bell,James Watt,Technology
What is the main ingredient in hummus?,Chickpeas,Lentils,Black beans,Peas,Food & Drink
Which country is the largest producer of coffee?,Brazil,Colombia,Vietnam,Ethiopia,Food & Drink
What type of pastry is used to make a croissant?,Puff pastry,Shortcrust,Choux,Filo,Food & Drink
What is the national dish of Japan?,Sushi,Ramen,Tempura,Sashimi,Food & Drink
From which country does champagne originate?,France,Italy,Spain,Germany,Food & Drink
What is the main ingredient in a margarita cocktail?,Tequila,Vodka,Gin,Rum,Food & Drink
What nut is used to make marzipan?,Almonds,Hazelnuts,Peanuts,Cashews,Food & Drink
Which spice is known as the most expensive in the world?,Saffron,Vanilla,Cardamom,Cinnamon,Food & Drink
What vitamin is produced by the body when exposed to sunlight?,Vitamin D,Vitamin C,Vitamin A,Vitamin B12,Science
What is the Italian word for pie?,Pizza,Pasta,Polenta,Bruschetta,Food & Drink
From which plant is tequila made?,Agave,Cactus,Sugarcane,Corn,Food & Drink
What is the most consumed fruit in the world?,Tomato,Banana,Apple,Mango,Food & Drink
What type of beans are used in making a traditional English breakfast?,Haricot beans,Kidney beans,Pinto beans,Black beans,Food & Drink
What is the base spirit in a Mojito?,Rum,Vodka,Tequila,Gin,Food & Drink
Which country is the largest producer of wine?,Italy,France,Spain,USA,Food & Drink
Who wrote the novel 1984?,George Orwell,Aldous Huxley,Ray Bradbury,H.G. Wells,Literature
What is the name of the whale in Herman Melville's Moby-Dick?,Moby Dick,Great White,Leviathan,Pequod,Literature
Who wrote Pride and Prejudice?,Jane Austen,Charlotte Brontë,Emily Brontë,Mary Shelley,Literature
In which Shakespeare play does the character Ophelia appear?,Hamlet,King Lear,Othello,Macbeth,Literature
What is the first book of the Bible?,Genesis,Exodus,Leviticus,Numbers,Literature
Who wrote The Odyssey?,Homer,Sophocles,Virgil,Euripides,Literature
Which Charles Dickens novel features the character Ebenezer Scrooge?,A Christmas Carol,Oliver Twist,Great Expectations,David Copperfield,Literature
In which novel would you find the character Jay Gatsby?,The Great Gatsby,Of Mice and Men,The Sun Also Rises,East of Eden,Literature
Who wrote The Canterbury Tales?,Geoffrey Chaucer,William Langland,John Gower,Thomas Malory,Literature
What is the name of the dragon in J.R.R. Tolkien's The Hobbit?,Smaug,Glaurung,Ancalagon,Chrysophylax,Literature
Who wrote Brave New World?,Aldous Huxley,George Orwell,Ray Bradbury,Anthony Burgess,Literature
Which author created the detective Hercule Poirot?,Agatha Christie,Arthur Conan Doyle,Wilkie Collins,Dorothy L. Sayers,Literature
In which novel does the character Atticus Finch appear?,To Kill a Mockingbird,The Grapes of Wrath,East of Eden,Of Mice and Men,Literature
Who wrote Crime and Punishment?,Fyodor Dostoevsky,Leo Tolstoy,Anton Chekhov,Ivan Turgenev,Literature
What is the subtitle of Mary Shelley's Frankenstein?,The Modern Prometheus,The New Prometheus,The Eternal Prometheus,The Ancient Prometheus,Literature
